,0
630,2.390271086528371e-14
631,2.3859142929211007e-14
632,2.3815525894858104e-14
633,2.377185985198184e-14
634,2.3728144890439918e-14
635,2.3684381100190693e-14
636,2.3640568571293017e-14
637,2.3596707393906022e-14
638,2.355279765828896e-14
639,2.3508839454801015e-14
640,2.3464832873901098e-14
641,2.3420778006147677e-14
642,2.337667494219859e-14
643,2.333252377281084e-14
644,2.328832458884045e-14
645,2.324407748124223e-14
646,2.319978254106962e-14
647,2.3155439859474467e-14
648,2.3111049527706896e-14
649,2.306661163711507e-14
650,2.3022126279145018e-14
651,2.297759354534046e-14
652,2.29330135273426e-14
653,2.288838631688995e-14
654,2.2843712005818128e-14
655,2.2798990686059692e-14
656,2.2754222449643924e-14
657,2.270940738869666e-14
658,2.2664545595440088e-14
659,2.2619637162192558e-14
660,2.257468218136842e-14
661,2.2529680745477787e-14
662,2.2484632947126385e-14
663,2.2439538879015332e-14
664,2.2394398633940983e-14
665,2.234921230479469e-14
666,2.230397998456266e-14
667,2.2258701766325745e-14
668,2.2213377743259225e-14
669,2.216800800863266e-14
670,2.2122592655809664e-14
671,2.207713177824774e-14
672,2.2031625469498058e-14
673,2.1986073823205287e-14
674,2.1940476933107393e-14
675,2.1894834893035443e-14
676,2.1849147796913413e-14
677,2.1803415738758014e-14
678,2.1757638812678458e-14
679,2.1711817112876303e-14
680,2.166595073364524e-14
681,2.16200397693709e-14
682,2.1574084314530676e-14
683,2.1528084463693496e-14
684,2.1482040311519662e-14
685,2.143595195276063e-14
686,2.1389819482258848e-14
687,2.1343642994947505e-14
688,2.1297422585850393e-14
689,2.1251158350081694e-14
690,2.1204850382845754e-14
691,2.1158498779436927e-14
692,2.111210363523936e-14
693,2.106566504572681e-14
694,2.101918310646242e-14
695,2.0972657913098552e-14
696,2.0926089561376565e-14
697,2.0879478147126646e-14
698,2.0832823766267595e-14
699,2.0786126514806625e-14
700,2.0739386488839166e-14
701,2.069260378454868e-14
702,2.0645778498206454e-14
703,2.05989107261714e-14
704,2.0552000564889856e-14
705,2.0505048110895385e-14
706,2.0458053460808597e-14
707,2.0411016711336923e-14
708,2.036393795927443e-14
709,2.0316817301501626e-14
710,2.026965483498524e-14
711,2.0222450656778054e-14
712,2.017520486401867e-14
713,2.0127917553931345e-14
714,2.0080588823825744e-14
715,2.00332187710968e-14
716,1.998580749322446e-14
717,1.9938355087773515e-14
718,1.989086165239337e-14
719,1.9843327284817903e-14
720,1.979575208286518e-14
721,1.974813614443733e-14
722,1.97004795675203e-14
723,1.965278245018365e-14
724,1.960504489058039e-14
725,1.9557266986946735e-14
726,1.9509448837601943e-14
727,1.9461590540948063e-14
728,1.941369219546978e-14
729,1.9365753899734196e-14
730,1.9317775752390597e-14
731,1.9269757852170318e-14
732,1.9221700297886464e-14
733,1.9173603188433762e-14
734,1.912546662278833e-14
735,1.9077290700007473e-14
736,1.9029075519229505e-14
737,1.8980821179673508e-14
738,1.8932527780639164e-14
739,1.888419542150652e-14
740,1.883582420173579e-14
741,1.878741422086718e-14
742,1.8738965578520647e-14
743,1.86904783743957e-14
744,1.8641952708271218e-14
745,1.859338868000521e-14
746,1.854478638953465e-14
747,1.8496145936875233e-14
748,1.8447467422121188e-14
749,1.8398750945445078e-14
750,1.8349996607097567e-14
751,1.8301204507407258e-14
752,1.8252374746780442e-14
753,1.8203507425700918e-14
754,1.8154602644729772e-14
755,1.8105660504505188e-14
756,1.8056681105742215e-14
757,1.8007664549232586e-14
758,1.795861093584449e-14
759,1.7909520366522375e-14
760,1.786039294228674e-14
761,1.7811228764233938e-14
762,1.7762027933535928e-14
763,1.7712790551440118e-14
764,1.766351671926912e-14
765,1.7614206538420555e-14
766,1.756486011036686e-14
767,1.7515477536655038e-14
768,1.7466058918906487e-14
769,1.741660435881679e-14
770,1.7367113958155465e-14
771,1.731758781876581e-14
772,1.726802604256465e-14
773,1.721842873154216e-14
774,1.716879598776162e-14
775,1.7119127913359252e-14
776,1.706942461054396e-14
777,1.7019686181597146e-14
778,1.6969912728872507e-14
779,1.6920104354795808e-14
780,1.6870261161864667e-14
781,1.6820383252648367e-14
782,1.6770470729787626e-14
783,1.6720523695994386e-14
784,1.667054225405162e-14
785,1.6620526506813094e-14
786,1.657047655720318e-14
787,1.652039250821662e-14
788,1.647027446291834e-14
789,1.642012252444322e-14
790,1.6369936795995883e-14
791,1.631971738085049e-14
792,1.626946438235053e-14
793,1.621917790390858e-14
794,1.6168858049006147e-14
795,1.6118504921193388e-14
796,1.606811862408895e-14
797,1.6017699261379723e-14
798,1.596724693682066e-14
799,1.5916761754234534e-14
800,1.5866243817511725e-14
801,1.5815693230610032e-14
802,1.5765110097554432e-14
803,1.5714494522436888e-14
804,1.56638466094161e-14
805,1.5613166462717342e-14
806,1.556245418663221e-14
807,1.551170988551841e-14
808,1.5460933663799555e-14
809,1.541012562596494e-14
810,1.5359285876569354e-14
811,1.5308414520232813e-14
812,1.5257511661640395e-14
813,1.5206577405542e-14
814,1.5155611856752136e-14
815,1.5104615120149712e-14
816,1.5053587300677806e-14
817,1.5002528503343475e-14
818,1.4951438833217508e-14
819,1.4900318395434235e-14
820,1.48491672951913e-14
821,1.479798563774944e-14
822,1.4746773528432283e-14
823,1.4695531072626107e-14
824,1.4644258375779652e-14
825,1.4592955543403886e-14
826,1.4541622681071792e-14
827,1.4490259894418147e-14
828,1.44388672891393e-14
829,1.4387444970992977e-14
830,1.4335993045798046e-14
831,1.4284511619434288e-14
832,1.4233000797842206e-14
833,1.4181460687022788e-14
834,1.4129891393037292e-14
835,1.4078293022007043e-14
836,1.4026665680113183e-14
837,1.397500947359649e-14
838,1.3923324508757126e-14
839,1.387161089195444e-14
840,1.3819868729606746e-14
841,1.3768098128191086e-14
842,1.3716299194243042e-14
843,1.3664472034356492e-14
844,1.3612616755183396e-14
845,1.356073346343358e-14
846,1.3508822265874519e-14
847,1.345688326933111e-14
848,1.3404916580685462e-14
849,1.335292230687666e-14
850,1.3300900554900561e-14
851,1.3248851431809572e-14
852,1.319677504471241e-14
853,1.314467150077392e-14
854,1.3092540907214806e-14
855,1.3040383371311457e-14
856,1.2988199000395694e-14
857,1.293598790185456e-14
858,1.2883750183130103e-14
859,1.283148595171915e-14
860,1.2779195315173086e-14
861,1.2726878381097637e-14
862,1.2674535257152635e-14
863,1.262216605105182e-14
864,1.2569770870562597e-14
865,1.2517349823505825e-14
866,1.2464903017755584e-14
867,1.2412430561238979e-14
868,1.2359932561935882e-14
869,1.2307409127878734e-14
870,1.2254860367152323e-14
871,1.2202286387893547e-14
872,1.2149687298291203e-14
873,1.209706320658576e-14
874,1.2044414221069142e-14
875,1.199174045008449e-14
876,1.1939042002025963e-14
877,1.1886318985338489e-14
878,1.1833571508517566e-14
879,1.1780799680109015e-14
880,1.1728003608708776e-14
881,1.1675183402962677e-14
882,1.1622339171566206e-14
883,1.1569471023264302e-14
884,1.1516579066851106e-14
885,1.146366341116977e-14
886,1.1410724165112195e-14
887,1.1357761437618846e-14
888,1.1304775337678499e-14
889,1.125176597432803e-14
890,1.1198733456652181e-14
891,1.1145677893783354e-14
892,1.1092599394901364e-14
893,1.1039498069233226e-14
894,1.0986374026052935e-14
895,1.0933227374681228e-14
896,1.0880058224485372e-14
897,1.0826866684878929e-14
898,1.0773652865321532e-14
899,1.0720416875318667e-14
900,1.0667158824421448e-14
901,1.0613878822226374e-14
902,1.0560576978375128e-14
903,1.0507253402554333e-14
904,1.0453908204495337e-14
905,1.040054149397398e-14
906,1.0347153380810371e-14
907,1.0293743974868666e-14
908,1.0240313386056834e-14
909,1.0186861724326434e-14
910,1.0133389099672398e-14
911,1.0079895622132786e-14
912,1.0026381401788574e-14
913,9.972846548763427e-15
914,9.919291173223466e-15
915,9.865715385377038e-15
916,9.812119295474502e-15
917,9.758503013808003e-15
918,9.704866650711218e-15
919,9.65121031655916e-15
920,9.597534121767943e-15
921,9.543838176794544e-15
922,9.490122592136585e-15
923,9.436387478332103e-15
924,9.382632945959321e-15
925,9.328859105636427e-15
926,9.275066068021337e-15
927,9.221253943811477e-15
928,9.167422843743543e-15
929,9.113572878593286e-15
930,9.059704159175277e-15
931,9.00581679634268e-15
932,8.951910900987023e-15
933,8.897986584037972e-15
934,8.8440439564631e-15
935,8.790083129267668e-15
936,8.736104213494376e-15
937,8.682107320223158e-15
938,8.628092560570938e-15
939,8.574060045691407e-15
940,8.520009886774792e-15
941,8.465942195047635e-15
942,8.411857081772547e-15
943,8.357754658247999e-15
944,8.303635035808079e-15
945,8.249498325822271e-15
946,8.195344639695218e-15
947,8.1411740888665e-15
948,8.086986784810403e-15
949,8.032782839035686e-15
950,7.978562363085353e-15
951,7.924325468536426e-15
952,7.870072266999718e-15
953,7.81580287011959e-15
954,7.761517389573742e-15
955,7.70721593707296e-15
956,7.652898624360906e-15
957,7.598565563213873e-15
958,7.54421686544057e-15
959,7.489852642881876e-15
960,7.435473007410621e-15
961,7.381078070931354e-15
962,7.326667945380106e-15
963,7.272242742724169e-15
964,7.21780257496186e-15
965,7.163347554122292e-15
966,7.108877792265144e-15
967,7.054393401480424e-15
968,6.999894493888253e-15
