,0
566,3.486369801366766e-15
567,3.485294018571405e-15
568,3.4842164427321285e-15
569,3.4831370744033042e-15
570,3.4820559141402252e-15
571,3.480972962499104e-15
572,3.479888220037077e-15
573,3.478801687312199e-15
574,3.47771336488345e-15
575,3.4766232533107253e-15
576,3.475531353154846e-15
577,3.47443766497755e-15
578,3.4733421893414957e-15
579,3.472244926810261e-15
580,3.4711458779483443e-15
581,3.470045043321161e-15
582,3.4689424234950485e-15
583,3.467838019037258e-15
584,3.4667318305159634e-15
585,3.465623858500253e-15
586,3.4645141035601332e-15
587,3.4634025662665305e-15
588,3.4622892471912846e-15
589,3.4611741469071535e-15
590,3.460057265987814e-15
591,3.4589386050078527e-15
592,3.4578181645427788e-15
593,3.456695945169012e-15
594,3.4555719474638914e-15
595,3.4544461720056653e-15
596,3.4533186193735034e-15
597,3.4521892901474854e-15
598,3.451058184908604e-15
599,3.4499253042387686e-15
600,3.448790648720802e-15
601,3.4476542189384385e-15
602,3.446516015476324e-15
603,3.4453760389200198e-15
604,3.444234289855998e-15
605,3.4430907688716425e-15
606,3.4419454765552494e-15
607,3.440798413496025e-15
608,3.4396495802840872e-15
609,3.4384989775104654e-15
610,3.437346605767098e-15
611,3.4361924656468335e-15
612,3.435036557743432e-15
613,3.4338788826515602e-15
614,3.4327194409667976e-15
615,3.4315582332856278e-15
616,3.4303952602054477e-15
617,3.4292305223245587e-15
618,3.4280640202421724e-15
619,3.4268957545584076e-15
620,3.4257257258742903e-15
621,3.4245539347917522e-15
622,3.4233803819136333e-15
623,3.42220506784368e-15
624,3.421027993186544e-15
625,3.4198491585477827e-15
626,3.4186685645338596e-15
627,3.4174862117521415e-15
628,3.4163021008109028e-15
629,3.415116232319323e-15
630,3.41392860688748e-15
631,3.412739225126361e-15
632,3.4115480876478565e-15
633,3.410355195064756e-15
634,3.4091605479907577e-15
635,3.4079641470404592e-15
636,3.4067659928293596e-15
637,3.4055660859738616e-15
638,3.40436442709127e-15
639,3.4031610167997882e-15
640,3.4019558557185234e-15
641,3.400748944467484e-15
642,3.3995402836675752e-15
643,3.3983298739406065e-15
644,3.3971177159092828e-15
645,3.3959038101972136e-15
646,3.3946881574289022e-15
647,3.3934707582297545e-15
648,3.3922516132260735e-15
649,3.3910307230450596e-15
650,3.3898080883148126e-15
651,3.3885837096643283e-15
652,3.387357587723501e-15
653,3.386129723123121e-15
654,3.3849001164948755e-15
655,3.3836687684713468e-15
656,3.382435679686016e-15
657,3.3812008507732565e-15
658,3.379964282368338e-15
659,3.3787259751074262e-15
660,3.37748592962758e-15
661,3.376244146566753e-15
662,3.3750006265637926e-15
663,3.3737553702584394e-15
664,3.3725083782913304e-15
665,3.3712596513039898e-15
666,3.37000918993884e-15
667,3.3687569948391904e-15
668,3.3675030666492485e-15
669,3.3662474060141066e-15
670,3.3649900135797536e-15
671,3.3637308899930684e-15
672,3.3624700359018175e-15
673,3.3612074519546614e-15
674,3.3599431388011477e-15
675,3.3586770970917157e-15
676,3.3574093274776914e-15
677,3.3561398306112936e-15
678,3.354868607145626e-15
679,3.353595657734683e-15
680,3.352320983033345e-15
681,3.351044583697382e-15
682,3.349766460383449e-15
683,3.34848661374909e-15
684,3.347205044452735e-15
685,3.3459217531536997e-15
686,3.344636740512185e-15
687,3.343350007189281e-15
688,3.342061553846957e-15
689,3.340771381148073e-15
690,3.339479489756369e-15
691,3.338185880336474e-15
692,3.3368905535538957e-15
693,3.3355935100750286e-15
694,3.3342947505671503e-15
695,3.3329942756984197e-15
696,3.3316920861378785e-15
697,3.330388182555451e-15
698,3.3290825656219446e-15
699,3.3277752360090453e-15
700,3.326466194389323e-15
701,3.325155441436226e-15
702,3.3238429778240852e-15
703,3.3225288042281093e-15
704,3.3212129213243886e-15
705,3.319895329789892e-15
706,3.3185760303024673e-15
707,3.317255023540841e-15
708,3.315932310184618e-15
709,3.314607890914282e-15
710,3.3132817664111926e-15
711,3.3119539373575883e-15
712,3.3106244044365835e-15
713,3.3092931683321698e-15
714,3.3079602297292146e-15
715,3.3066255893134613e-15
716,3.3052892477715297e-15
717,3.3039512057909125e-15
718,3.3026114640599787e-15
719,3.3012700232679728e-15
720,3.2999268841050114e-15
721,3.2985820472620863e-15
722,3.2972355134310625e-15
723,3.2958872833046753e-15
724,3.294537357576537e-15
725,3.29318573694113e-15
726,3.2918324220938093e-15
727,3.2904774137307988e-15
728,3.2891207125491992e-15
729,3.2877623192469762e-15
730,3.28640223452297e-15
731,3.2850404590768893e-15
732,3.2836769936093123e-15
733,3.2823118388216887e-15
734,3.2809449954163347e-15
735,3.2795764640964365e-15
736,3.278206245566049e-15
737,3.276834340530094e-15
738,3.275460749694363e-15
739,3.274085473765511e-15
740,3.272708513451064e-15
741,3.2713298694594124e-15
742,3.2699495424998137e-15
743,3.26856753328239e-15
744,3.2671838425181297e-15
745,3.265798470918887e-15
746,3.2644114191973785e-15
747,3.2630226880671877e-15
748,3.2616322782427615e-15
749,3.260240190439409e-15
750,3.258846425373303e-15
751,3.2574509837614812e-15
752,3.256053866321842e-15
753,3.2546550737731454e-15
754,3.253254606835015e-15
755,3.251852466227933e-15
756,3.2504486526732473e-15
757,3.2490431668931615e-15
758,3.2476360096107425e-15
759,3.246227181549916e-15
760,3.244816683435468e-15
761,3.2434045159930423e-15
762,3.2419906799491432e-15
763,3.2405751760311315e-15
764,3.2391580049672287e-15
765,3.237739167486511e-15
766,3.2363186643189144e-15
767,3.2348964961952308e-15
768,3.2334726638471078e-15
769,3.2320471680070505e-15
770,3.2306200094084186e-15
771,3.2291911887854292e-15
772,3.227760706873153e-15
773,3.226328564407514e-15
774,3.224894762125294e-15
775,3.2234593007641256e-15
776,3.222022181062496e-15
777,3.2205834037597467e-15
778,3.2191429695960696e-15
779,3.21770087931251e-15
780,3.216257133650967e-15
781,3.2148117333541896e-15
782,3.213364679165777e-15
783,3.211915971830182e-15
784,3.2104656120927055e-15
785,3.2090136006994993e-15
786,3.2075599383975648e-15
787,3.206104625934754e-15
788,3.2046476640597663e-15
789,3.2031890535221496e-15
790,3.201728795072301e-15
791,3.2002668894614644e-15
792,3.1988033374417316e-15
793,3.1973381397660423e-15
794,3.195871297188181e-15
795,3.19440281046278e-15
796,3.192932680345316e-15
797,3.1914609075921128e-15
798,3.1899874929603375e-15
799,3.1885124372080033e-15
800,3.1870357410939676e-15
801,3.1855574053779304e-15
802,3.184077430820437e-15
803,3.1825958181828743e-15
804,3.1811125682274726e-15
805,3.1796276817173052e-15
806,3.1781411594162857e-15
807,3.1766530020891706e-15
808,3.1751632105015573e-15
809,3.1736717854198833e-15
810,3.172178727611427e-15
811,3.170684037844307e-15
812,3.1691877168874816e-15
813,3.1676897655107476e-15
814,3.16619018448474e-15
815,3.164688974580935e-15
816,3.163186136571642e-15
817,3.1616816712300134e-15
818,3.160175579330035e-15
819,3.1586678616465315e-15
820,3.157158518955162e-15
821,3.155647552032424e-15
822,3.1541349616556488e-15
823,3.1526207486030025e-15
824,3.1511049136534884e-15
825,3.149587457586942e-15
826,3.148068381184034e-15
827,3.1465476852262672e-15
828,3.145025370495981e-15
